company,open_date,listing_date,bse_list,nse_list,bse,nse,issue_amt,issue_price,qib,nii,rii,total,listing_price_am,listing_price_pm,list_gain_pm,mp_val,mp_percentage,52_wk_high,52_wk_high_date,52_wk_low,52_wk_low_date,assets,revenue,pat,pre_pe,post_pe,roe,roce,ronw,net_worth,reserves,borrowing,pat_margin,pre_eps,post_eps,pb_value,ebitda
Divgi TorqTransfer Systems IPO,2023-03-01,2023-03-14,1,1,543812,DIVGIITTS,412.12,590,3.76,1.37,4.17,3.44,620,605.2,2.58,657.85,10.56,700,25/09/2025,410.1,07/04/2025,430.21,137.55,25.66,35.16,,14.52%,29.47%,13.57%,356.2,342.44,0.5,19.08,16.76,,,
Global Surfaces IPO,2023-03-13,2023-03-23,1,1,543829,GSLSU,154.98,140,4.25,33.22,4.98,8.85,164,171.05,22.18,90,-35.71,144.4,27/05/2025,79,27/01/2026,280.2,99.25,13.59,21.84,,26.59%,20.85%,32.51%,148.93,115.07,50.52,18.72,10.52,,,
Udayshivakumar Infra IPO,2023-03-20,2023-04-03,1,1,543861,USK,66,35,40.11,64.49,14.73,32.2,30,31.5,-10,21.13,-39.06,51.78,14/02/2025,19.2,30/01/2026,178.9,107.14,10.02,9.67,,17.78%,20.71%,17.78%,78.34,0,39.46,6.54,3.33,,,
Avalon Technologies IPO,2023-04-03,2023-04-18,1,1,543896,AVALON,865,436,2.12,0.37,0.84,1.73,396,397.95,-8.73,1078.75,149.09,1318,07/10/2025,603,18/02/2025,587.96,851.65,68.16,55.54,,85.9%,27.4%,85.86%,0,0,294.05,8,11.3,,,
Mankind Pharma IPO,2023-04-25,2023-05-09,1,1,543904,MANKIND,4326.36,1080,20.32,3.59,0.89,11.01,1300,1080,0,2079,92.49,2716.5,15/07/2025,2033,06/02/2026,9273.75,6777.82,1015.98,32.5,,27.6%,26.1%,27.7%,7145.89,7094.12,167.93,18.67,33.2,,,
IKIO Lighting IPO,2023-06-06,2023-06-16,1,1,543923,IKIO,606.5,285,66.57,61.16,13.77,47.28,392.5,403.85,41.7,150.26,-47.4,304,21/03/2025,142.53,02/02/2026,335.5,332.79,51.35,32.13,,36%,26%,36.46%,140.83,,136.33,15.12,7.9,,,
HMA Agro Industries IPO,2023-06-20,2023-07-04,1,1,543929,HMA,480,585,1.35,3.13,0.96,1.48,625,585.65,0.11,30.12,-48.7,38,03/06/2025,24.78,02/02/2026,856.11,3138.98,117.62,19.4,,,0.33%,28.78%,374.65,327.03,330.02,3.8,18.83,,,
ideaForge Technology IPO,2023-06-26,2023-07-07,1,1,543932,IDEAFORGE,567.24,672,51.13,78.41,82.03,58.23,1300,1294.95,92.7,421.6,-37.31,659.85,24/06/2025,304.2,07/04/2025,487.93,196.4,31.99,87.5,,13.11%,12.51%,9.85%,324.72,,86.5,17.2,8.12,,,
Cyient DLM IPO,2023-06-27,2023-07-10,1,1,543933,CYIENTDLM,592,265,39.02,47.07,50.38,40.27,403,420.6,58.72,364.45,37.58,540,23/04/2025,344.55,06/02/2026,1104.72,838.34,31.73,66.25,,23.1%,13.48%,30.45%,197.87,145.01,314.47,4,10.07,,,
Senco Gold IPO,2023-07-04,2023-07-14,1,1,543936,SENCO,405,317,76.81,68.13,15.73,54.13,430,405.3,27.85,373.5,135.49,458.2,13/02/2025,227.4,17/03/2025,2905.32,4108.54,158.48,15.53,,18.9%,14.2%,18.96%,944.97,876.27,1177.17,3.89,22.93,,,
Utkarsh Small Finance Bank IPO,2023-07-12,2023-07-21,1,1,543942,UTKARSHBNK,500,25,54.91,88.11,76.14,61.41,40,48,92,13.77,-44.8,26.97,11/02/2025,12.96,04/02/2026,19117.54,2804.29,404.5,6.78,,22.64%,,20.22%,2000.32,1104.42,2349.48,,4.52,,,
Netweb Technologies IPO,2023-07-17,2023-07-27,1,1,543945,NETWEB,631,500,88.64,84.21,18.74,63.41,947,910.4,82.08,3201.9,540.95,4479,08/10/2025,1251.55,07/04/2025,265.95,445.65,46.94,59.67,,68.01%,64.42%,68.01%,93.67,83.48,35.6,10.55,9.22,,,
Yatharth Hospital IPO,2023-07-26,2023-08-07,1,1,543950,YATHARTH,686.55,300,35.04,38.54,8.38,26.24,306.1,300,0,694.2,131.55,843.7,08/10/2025,345.6,03/03/2025,485.97,523.1,65.77,39.16,,35.95%,26.1%,35.95%,182.96,,263.78,12.64,10.09,,,
