Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Divgi TorqTransfer Systems IPO,2023-03-01,2023-03-14,"BSE, NSE",543812,DIVGIITTS,412.12,590,3.76,1.37,4.17,3.44,620,605.2,2.58,745.55,744.55,26.36,657.85 (10.56%),"700.00 (Sep 25, 2025)","410.10 (Apr 07, 2025)",657.85,10.56,700,"Sep 25, 2025",410.1,"Apr 07, 2025",430.21,137.55,25.66,35.16,,14.52,29.47,13.57,356.2,342.44,0.5,19.08,16.76,,,
Global Surfaces IPO,2023-03-13,2023-03-23,"BSE, NSE",543829,GSLSU,154.98,140,4.25,33.22,4.98,8.85,164,171.05,22.18,87.49,,-37.51,90.00 (-35.71%),"144.40 (May 27, 2025)","79.00 (Jan 27, 2026)",90,-35.71,144.4,"May 27, 2025",79,"Jan 27, 2026",280.2,99.25,13.59,21.84,,26.59,20.85,32.51,148.93,115.07,50.52,18.72,10.52,,,
Udayshivakumar Infra IPO,2023-03-20,2023-04-03,"BSE, NSE",543861,USK,66,35,40.11,64.49,14.73,32.2,30,31.5,-10,21,21.32,-40,21.13 (-39.06%),"51.78 (Feb 14, 2025)","19.20 (Jan 30, 2026)",21.13,-39.06,51.78,"Feb 14, 2025",19.2,"Jan 30, 2026",178.9,107.14,10.02,9.67,,17.78,20.71,17.78,78.34,0,39.46,6.54,3.33,,,
Avalon Technologies IPO,2023-04-03,2023-04-18,"BSE, NSE",543896,AVALON,865,436,2.12,0.37,0.84,1.73,396,397.95,-8.73,1054.5,1054.05,141.86,"1,078.75 (149.09%)","1,318.00 (Oct 07, 2025)","603.00 (Feb 18, 2025)",1078.75,149.09,"1,318.00","Oct 07, 2025",603,"Feb 18, 2025",587.96,851.65,68.16,55.54,,85.9,27.4,85.86,0,0,294.05,8,11.3,,,
Mankind Pharma IPO,2023-04-25,2023-05-09,"BSE, NSE",543904,MANKIND,"4,326.36","1,080",20.32,3.59,0.89,11.01,"1,300.00","1,080.00",0,2060.3,2060.5,90.77,"2,079.00 (92.49%)","2,716.50 (Jul 15, 2025)","2,033.00 (Feb 06, 2026)",2079,92.49,"2,716.50","Jul 15, 2025",2033,"Feb 06, 2026","9,273.75","6,777.82","1,015.98",32.5,,27.60%,26.10%,27.70%,"7,145.89","7,094.12",167.93,18.67,33.2,,,
IKIO Lighting IPO,2023-06-06,2023-06-16,"BSE, NSE",543923,IKIO,606.5,285,66.57,61.16,13.77,47.28,392.5,403.85,41.7,147.95,147.89,-48.09,150.26 (-47.4%),"304.00 (Mar 21, 2025)","142.53 (Feb 02, 2026)",150.26,-47.4,304,"Mar 21, 2025",142.53,"Feb 02, 2026",335.5,332.79,51.35,32.13,,36.00%,26.00%,36.46%,140.83,,136.33,15.12,7.9,,,
HMA Agro Industries IPO,2023-06-20,2023-07-04,"BSE, NSE",543929,HMA,480,585,1.35,3.13,0.96,1.48,625,585.65,0.11,28.04,28,-52.07,30.12 (-48.7%),"38.00 (Jun 03, 2025)","24.78 (Feb 02, 2026)",30.12,-48.7,38,"Jun 03, 2025",24.78,"Feb 02, 2026",856.11,"3,138.98",117.62,19.4,,,0.33,28.78%,374.65,327.03,330.02,3.8,18.83,,,
ideaForge Technology IPO,2023-06-26,2023-07-07,"BSE, NSE",543932,IDEAFORGE,567.24,672,51.13,78.41,82.03,58.23,"1,300.00","1,294.95",92.7,410.75,411,-38.88,421.60 (-37.31%),"659.85 (Jun 24, 2025)","304.20 (Apr 07, 2025)",421.6,-37.31,659.85,"Jun 24, 2025",304.2,"Apr 07, 2025",487.93,196.4,31.99,87.5,,13.11%,12.51%,9.85%,324.72,,86.5,17.2,8.12,,,
Cyient DLM IPO,2023-06-27,2023-07-10,"BSE, NSE",543933,CYIENTDLM,592,265,39.02,47.07,50.38,40.27,403,420.6,58.72,364.05,363.35,37.38,364.45 (37.58%),"540.00 (Apr 23, 2025)","344.55 (Feb 06, 2026)",364.45,37.58,540,"Apr 23, 2025",344.55,"Feb 06, 2026","1,104.72",838.34,31.73,66.25,,23.10%,13.48%,30.45%,197.87,145.01,314.47,4,10.07,,,
Senco Gold IPO,2023-07-04,2023-07-14,"BSE, NSE",543936,SENCO,405,317,76.81,68.13,15.73,54.13,430,405.3,27.85,351.6,352.15,121.83,373.50 (135.49%),"458.20 (Feb 13, 2025)","227.40 (Mar 17, 2025)",373.5,135.49,458.2,"Feb 13, 2025",227.4,"Mar 17, 2025","2,905.32","4,108.54",158.48,15.53,,18.90%,14.20%,18.96%,944.97,876.27,"1,177.17",3.89,22.93,,,
